Wavelength,Pan,Green,Blue,Red,NIR,RedEdge,BlueCoastal
593,0.911679459,0.152993355,0.000404617,0.000105561,4.74934E-05,0.000100517,0.003312374
594,0.913234761,0.09075529,0.000410518,0.000156043,7.19925E-05,6.79766E-05,0.003171523
595,0.914965595,0.055901695,0.0004308,0.000248365,0.000124586,4.10572E-05,0.002246387
596,0.916985342,0.036188515,0.000467725,0.000398918,0.000223262,2.44459E-05,0.001126862
597,0.919411638,0.024271864,0.000505736,0.000608316,0.000376855,1.6446E-05,0.000424864
598,0.921859793,0.016640826,0.000518662,0.000863345,0.00057287,1.1473E-05,0.000154433
599,0.923787147,0.011582918,0.000493334,0.001124846,0.000783948,8.8324E-06,8.63842E-05
600,0.925170272,0.008352859,0.000447089,0.001332762,0.000979428,8.06745E-06,9.33317E-05
601,0.92575232,0.006459105,0.00040245,0.001497339,0.001108099,6.40449E-06,0.000125948
602,0.925594809,0.005256306,0.000368652,0.001690147,0.001090733,7.59166E-06,0.00014949
603,0.924861087,0.004684656,0.000354615,0.002005296,0.000889278,9.67924E-06,0.000148103
604,0.923850329,0.004152038,0.000364152,0.002717236,0.000584107,1.29462E-05,0.000147167
605,0.922963054,0.003883593,0.000420477,0.003968761,0.00031095,1.58586E-05,0.000200305
606,0.922491092,0.003760645,0.000569864,0.006870279,0.000141087,1.77374E-05,0.000349703
607,0.922958311,0.003542395,0.000769649,0.013132038,6.26914E-05,1.89378E-05,0.000545544
608,0.924672571,0.003076274,0.000858449,0.022456368,3.08751E-05,1.66794E-05,0.00065582
609,0.927405082,0.002415457,0.000775717,0.034144565,1.66267E-05,1.58606E-05,0.000584926
610,0.931123234,0.001729096,0.000618682,0.049382536,1.03604E-05,1.4844E-05,0.000412521
611,0.935731263,0.001184188,0.000490086,0.068150028,8.59222E-06,1.2381E-05,0.000269621
612,0.940627089,0.000826165,0.000407454,0.089874808,7.53466E-06,1.22609E-05,0.000200899
613,0.945412459,0.000621041,0.000373948,0.114363472,5.8092E-06,1.0819E-05,0.000178144
614,0.949627507,0.000501656,0.000378596,0.143149028,4.85084E-06,9.58055E-06,0.00015137
615,0.952835361,0.000428465,0.000394114,0.180538821,4.49429E-06,9.31138E-06,0.00014159
616,0.955099651,0.00037371,0.000397519,0.234419638,3.20192E-06,8.80459E-06,0.000170549
617,0.955913332,0.000315693,0.000379087,0.315995177,2.04768E-06,9.84246E-06,0.000272956
618,0.955793091,0.000232971,0.00034836,0.434427516,3.0831E-06,1.25859E-05,0.000462986
619,0.954974009,0.000148394,0.000318235,0.584537742,3.40332E-06,1.56651E-05,0.000630647
620,0.95349076,8.89319E-05,0.000295926,0.737697652,3.79353E-06,2.39837E-05,0.000651955
621,0.951792392,4.11888E-05,0.000286713,0.850958323,4.15407E-06,3.69037E-05,0.000511202
622,0.950361013,3.5057E-05,0.000311199,0.896055368,4.15216E-06,6.20485E-05,0.000317103
623,0.949263186,4.84185E-05,0.000505419,0.883023939,3.55318E-06,0.00010915,0.000183136
624,0.948418077,5.94092E-05,0.001003166,0.841013195,3.41239E-06,0.000173887,0.000121138
